countryName,Nitrogen,Phosphorus,TOC,"Heavy metals (Cd, Hg, Ni, Pb)"
AT,5243000.0,377020.0,15966200.0,15720.199999999999
BE,2536400.0,540950.0,8382500.0,8917.0
BG,3449000.0,297310.0,17810200.0,38013.1
CY,,,,
CZ,6947300.0,196080.0,7268700.0,5209.57
DE,47687800.0,2188120.0,72804400.0,43682.590000000004
DK,1446800.0,149630.0,3709300.0,1133.3400000000001
EE,790000.0,66200.0,,884.1
EL,5418600.0,1628300.0,10277300.0,29617.8
ES,27430600.0,3749940.0,36045600.0,26642.26
FI,7429000.0,191360.0,46680600.0,12010.210000000001
FR,65353200.0,4596760.0,93200300.0,34684.899999999994
HR,,,,
HU,4804400.0,626540.0,7088500.0,13451.130000000001
IE,4206500.0,706980.0,5927100.0,4504.15
IT,36030200.0,4944240.0,37549300.0,111197.8
LT,1857000.0,129760.0,118000.0,2143.8
LU,479000.0,23200.0,406000.0,149.0
LV,3515900.0,216500.0,1857000.0,2714.9
MT,1926900.0,65760.0,17555000.0,22.0
NL,12731700.0,1517040.0,6428600.0,12091.859999999999
PL,17966800.0,1136420.0,14817700.0,186538.65
PT,9654000.0,1208480.0,26399200.0,4182.8
RO,8749300.0,1075120.0,18985700.0,28626.390000000003
SE,9781800.0,369120.0,66127100.0,10266.43
SI,925000.0,186700.0,1328000.0,1505.9099999999999
SK,2807200.0,238010.0,4506300.0,1102.99
